0001.0000;8803;0101.0000;6924;0201.0000;3577;0301.0000;2172;
0002.0000;6500;0102.0000;3060;0202.0000;4841;0302.0000;9390;
0003.0000;5041;0103.0000;7887;0203.0000;8962;0303.0000;1527;
0004.0000;3845;0104.0000;4550;0204.0000;0398;0304.0000;9105;
0005.0000;7701;0105.0000;6112;0205.0000;7297;0305.0000;2486;
0006.0000;2025;0106.0000;8042;0206.0000;2876;0306.0000;9213;
0007.0000;0822;0107.0000;0153;0207.0000;3943;0307.0000;2352;
0008.0000;6798;0108.0000;7447;0208.0000;0395;0308.0000;3753;
0009.0000;8522;0109.0000;5686;0209.0000;3733;0309.0000;3187;
0010.0000;4366;0110.0000;2301;0210.0000;0284;0310.0000;8273;
0011.0000;1157;0111.0000;3893;0211.0000;0205;0311.0000;4640;
0012.0000;5960;0112.0000;6159;0212.0000;4796;0312.0000;1876;
0013.0000;1676;0113.0000;7404;0213.0000;6286;0313.0000;8794;
0014.0000;9916;0114.0000;1530;0214.0000;7985;0314.0000;7175;
0015.0000;3319;0115.0000;7077;0215.0000;7329;0315.0000;0737;
0016.0000;6399;0116.0000;2913;0216.0000;3428;0316.0000;0040;
0017.0000;7193;0117.0000;1674;0217.0000;2410;0317.0000;9471;
0018.0000;3238;0118.0000;9992;0218.0000;7744;0318.0000;7965;
0019.0000;8999;0119.0000;6069;0219.0000;1592;0319.0000;7288;
0020.0000;6192;0120.0000;1562;0220.0000;4817;0320.0000;4452;
0021.0000;9768;0121.0000;9504;0221.0000;0071;0321.0000;8851;
0022.0000;3273;0122.0000;0358;0222.0000;7594;0322.0000;9090;
0023.0000;7669;0123.0000;5503;0223.0000;0705;0323.0000;4578;
0024.0000;8148;0124.0000;9207;0224.0000;8523;0324.0000;2209;
0025.0000;2916;0125.0000;4142;0225.0000;4378;0325.0000;8274;
0026.0000;2472;0126.0000;6344;0226.0000;6315;0326.0000;5420;
0027.0000;9107;0127.0000;8797;0227.0000;9446;0327.0000;3098;
0028.0000;7352;0128.0000;1292;0228.0000;4427;0328.0000;7714;
0029.0000;9276;0129.0000;1046;0229.0000;7926;0329.0000;5795;
0030.0000;0198;0130.0000;1125;0230.0000;2892;0330.0000;7040;
0031.0000;3861;0131.0000;5075;0231.0000;4394;0331.0000;7768;
0032.0000;3467;0132.0000;6552;0232.0000;0286;0332.0000;7103;
0033.0000;5084;0133.0000;5512;0233.0000;0967;0333.0000;0148;
0034.0000;9971;0134.0000;1721;0234.0000;5342;0334.0000;8160;
0035.0000;8864;0135.0000;7133;0235.0000;0376;0335.0000;7715;
0036.0000;6689;0136.0000;0323;0236.0000;4041;0336.0000;3445;
0037.0000;4530;0137.0000;3147;0237.0000;1959;0337.0000;0921;
0038.0000;2011;0138.0000;9565;0238.0000;2717;0338.0000;9987;
0039.0000;8022;0139.0000;7278;0239.0000;2347;0339.0000;7097;
0040.0000;9813;0140.0000;0136;0240.0000;0787;0340.0000;2191;
0041.0000;6852;0141.0000;9204;0241.0000;6013;0341.0000;0631;
0042.0000;6583;0142.0000;1816;0242.0000;9810;0342.0000;4049;
0043.0000;6095;0143.0000;7362;0243.0000;9289;0343.0000;6716;
0044.0000;9621;0144.0000;2336;0244.0000;7922;0344.0000;2154;
0045.0000;8445;0145.0000;5683;0245.0000;7140;0345.0000;6574;
0046.0000;9692;0146.0000;5488;0246.0000;5068;0346.0000;6164;
0047.0000;8859;0147.0000;6589;0247.0000;8898;0347.0000;6272;
0048.0000;8065;0148.0000;9422;0248.0000;7872;0348.0000;9058;
0049.0000;6291;0149.0000;4496;0249.0000;2746;0349.0000;9290;
0050.0000;1100;0150.0000;0559;0250.0000;4015;0350.0000;5685;
0051.0000;2483;0151.0000;2537;0251.0000;3833;0351.0000;2314;
0052.0000;1322;0152.0000;0505;0252.0000;2630;0352.0000;6485;
0053.0000;8073;0153.0000;5779;0253.0000;3775;0353.0000;6033;
0054.0000;5487;0154.0000;2278;0254.0000;6775;0354.0000;6684;
0055.0000;1040;0155.0000;0897;0255.0000;8541;0355.0000;3174;
0056.0000;5860;0156.0000;0949;0256.0000;3746;0356.0000;3844;
0057.0000;8241;0157.0000;2771;0257.0000;2344;0357.0000;4372;
0058.0000;3677;0158.0000;7824;0258.0000;2633;0358.0000;2697;
0059.0000;7109;0159.0000;3961;0259.0000;4984;0359.0000;3886;
0060.0000;4775;0160.0000;1083;0260.0000;6549;0360.0000;0492;
0061.0000;0118;0161.0000;4727;0261.0000;1181;0361.0000;9347;
0062.0000;5738;0162.0000;8816;0262.0000;9666;0362.0000;0774;
0063.0000;7914;0163.0000;6903;0263.0000;9688;0363.0000;1339;
0064.0000;6792;0164.0000;9178;0264.0000;4179;0364.0000;3967;
0065.0000;2061;0165.0000;9170;0265.0000;8515;0365.0000;0355;
0066.0000;0054;0166.0000;6053;0266.0000;0171;0366.0000;5886;
0067.0000;2963;0167.0000;3615;0267.0000;2302;0367.0000;5669;
0068.0000;6892;0168.0000;9243;0268.0000;6623;0368.0000;1606;
0069.0000;8062;0169.0000;2382;0269.0000;9061;0369.0000;0511;
0070.0000;0838;0170.0000;8959;0270.0000;3325;0370.0000;1884;
0071.0000;3539;0171.0000;2505;0271.0000;8186;0371.0000;1576;
